Implementation,Metric,Unit,Count,Mean,Median,Std,Min,Max,Q25,Q75
FoundationPose,Processing Time (seconds),s,12,2.8381154338518777,2.610549211502075,0.8818164379878582,1.9294300079345703,4.242117404937744,1.9937864542007446,3.745871067047119
FoundationPose,Processing Time (milliseconds),ms,12,2838.1154338518777,2610.549211502075,881.8164379878583,1929.4300079345703,4242.117404937744,1993.7864542007446,3745.871067047119
FoundationPose,GPU Memory Allocated (GB),GB,12,0.7748485008875529,0.3439669609069824,0.7112559451876919,0.34395885467529297,2.703579902648926,0.34395885467529297,0.8051079511642456
FoundationPose,GPU Memory Reserved (GB),GB,12,1.3564453125,0.724609375,1.1169377828156555,0.724609375,4.515625,0.724609375,1.29248046875
FoundationPose,GPU Memory Allocated (%),%,12,3.9633229285364937,1.7593789511886735,3.638049234645628,1.759337488097654,13.82871645879837,1.759337488097654,4.118098956300829
FoundationPose,GPU Utilization (%),%,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FoundationPose,CPU Usage - Process (%),%,12,73.95833333333333,54.9,72.77746283858914,0.0,208.4,10.0,119.875
FoundationPose,CPU Usage - System (%),%,12,67.525,82.85,28.369059583755444,18.3,94.3,37.325,90.8
FoundationPose,Memory Usage (MB),MB,12,2178.5911458333335,2185.34375,15.28504771494036,2133.53125,2186.765625,2181.4609375,2186.765625
Grounded SAM,Processing Time (seconds),s,374,0.7065458782216444,0.6753497123718262,0.34897211951453266,0.6491830348968506,7.3345112800598145,0.6692016124725342,0.6857542991638184
Grounded SAM,Processing Time (milliseconds),ms,374,706.5458782216444,675.3497123718262,348.97211951453266,649.1830348968506,7334.511280059814,669.2016124725342,685.7542991638184
YOLO+SAM,Processing Time (seconds),s,66,0.3687939607735836,0.3599144220352173,0.0770498152817717,0.31044530868530273,0.9867794513702393,0.3570166230201721,0.3627813458442688
YOLO+SAM,Processing Time (milliseconds),ms,66,368.7939607735836,359.9144220352173,77.04981528177169,310.44530868530273,986.7794513702393,357.0166230201721,362.7813458442688
YOLO+SAM,GPU Memory Allocated (GB),GB,66,0.39704227447509766,0.39704227447509766,0.0,0.39704227447509766,0.39704227447509766,0.39704227447509766,0.39704227447509766
YOLO+SAM,GPU Memory Reserved (GB),GB,66,3.0703125,3.0703125,0.0,3.0703125,3.0703125,3.0703125,3.0703125
YOLO+SAM,GPU Memory Allocated (%),%,66,2.0308573201379896,2.030857320137989,4.440892098500626e-16,2.030857320137989,2.030857320137989,2.030857320137989,2.030857320137989
YOLO+SAM,GPU Utilization (%),%,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YOLO+SAM,CPU Usage - Process (%),%,66,1.6666666666666667,0.0,3.72677996249965,0.0,10.0,0.0,0.0
YOLO+SAM,CPU Usage - System (%),%,66,24.99848484848485,24.700000000000003,3.184883444146855,19.1,31.9,22.375,27.475
YOLO+SAM,Memory Usage (MB),MB,66,1380.362334280303,1380.48828125,2.0400303360021383,1366.48828125,1381.58203125,1380.26953125,1381.58203125
